Date/Time,ZONE ONE:Zone Outdoor Air Drybulb Temperature [C](TimeStep),ZONE ONE:Zone Mean Air Temperature [C](TimeStep) 
 01/01  00:10:00,-6.33235833377052,0.830323590213779 
 01/01  00:20:00,-5.66569166710385,0.699844536810163 
 01/01  00:30:00,-4.99902500043719,0.598140976543135 
 01/01  00:40:00,-4.33235833377052,0.515070186318651 
 01/01  00:50:00,-3.66569166710385,0.44650374853374 
 01/01  01:00:00,-2.99902500043719,0.390664478280688 
 01/01  01:10:00,-2.99902500043719,0.318562835397187 
 01/01  01:20:00,-2.99902500043719,0.2240470836447 
 01/01  01:30:00,-2.99902500043719,0.116827483261292 
 01/01  01:40:00,-2.99902500043719,7.731197992774213E-003 
 01/01  01:50:00,-2.99902500043719,-9.741919259486255E-002 
 01/01  02:00:00,-2.99902500043719,-0.19689681353924 
 01/01  02:10:00,-3.16569166710385,-0.300014263878145 
 01/01  02:20:00,-3.33235833377052,-0.410160124747143 
 01/01  02:30:00,-3.49902500043719,-0.526098637371251 
 01/01  02:40:00,-3.66569166710385,-0.64387304454062 
 01/01  02:50:00,-3.83235833377052,-0.761529429741016 
 01/01  03:00:00,-3.99902500043719,-0.879345902921934 
 01/01  03:10:00,-3.66569166710385,-0.973098438189385 
 01/01  03:20:00,-3.33235833377052,-1.03845225068109 
 01/01  03:30:00,-2.99902500043719,-1.08273773314538 
 01/01  03:40:00,-2.66569166710385,-1.11141557528623 
 01/01  03:50:00,-2.33235833377052,-1.13286781137951 
 01/01  04:00:00,-1.99902500043719,-1.14931267585774 
 01/01  04:10:00,-1.99902500043719,-1.17441524256519 
 01/01  04:20:00,-1.99902500043719,-1.20850089761736 
 01/01  04:30:00,-1.99902500043719,-1.24514010081577 
 01/01  04:40:00,-1.99902500043719,-1.27889724083399 
 01/01  04:50:00,-1.99902500043719,-1.30869948898432 
 01/01  05:00:00,-1.99902500043719,-1.33547077610896 
 01/01  05:10:00,-1.83235833377052,-1.35361580833276 
 01/01  05:20:00,-1.66569166710385,-1.36256199054183 
 01/01  05:30:00,-1.49902500043719,-1.36533222596316 
 01/01  05:40:00,-1.33235833377052,-1.36534869427907 
 01/01  05:50:00,-1.16569166710385,-1.36406019785864 
 01/01  06:00:00,-0.999025000437185,-1.3635686354674 
 01/01  06:10:00,-0.999025000437185,-1.36800748175804 
 01/01  06:20:00,-0.999025000437185,-1.37860307894625 
 01/01  06:30:00,-0.999025000437185,-1.39217316331797 
 01/01  06:40:00,-0.999025000437185,-1.40521234175543 
 01/01  06:50:00,-0.999025000437185,-1.41551400680793 
 01/01  07:00:00,-0.999025000437185,-1.42234973569195 
 01/01  07:10:00,-0.999025000437185,-1.42663537259531 
 01/01  07:20:00,-0.999025000437185,-1.42923765315374 
 01/01  07:30:00,-0.999025000437185,-1.37614686127865 
 01/01  07:40:00,-0.999025000437185,-1.17080266517466 
 01/01  07:50:00,-0.999025000437185,-0.75839445209416 
 01/01  08:00:00,-0.999025000437185,-0.128442949632923 
 01/01  08:10:00,-0.832358333770519,0.689145875637251 
 01/01  08:20:00,-0.665691667103852,1.65431184157124 
 01/01  08:30:00,-0.499025000437185,2.73524264704296 
 01/01  08:40:00,-0.332358333770519,3.75435009754564 
 01/01  08:50:00,-0.165691667103852,4.56747186460517 
 01/01  09:00:00,9.749995628148094E-004,5.13880313486425 
 01/01  09:10:00,0.334308332896148,5.48365353746642 
 01/01  09:20:00,0.667641666229481,5.61788374439781 
 01/01  09:30:00,1.00097499956282,5.56028465983172 
 01/01  09:40:00,1.33430833289615,5.55291932092669 
 01/01  09:50:00,1.66764166622948,5.86437408879639 
 01/01  10:00:00,2.00097499956281,6.63070361755299 
 01/01  10:10:00,2.00097499956281,7.77785912801359 
 01/01  10:20:00,2.00097499956281,9.20669978102842 
 01/01  10:30:00,2.00097499956281,10.8786419471248 
 01/01  10:40:00,2.00097499956281,12.5219281383007 
 01/01  10:50:00,2.00097499956281,13.9546560668632 
 01/01  11:00:00,2.00097499956281,15.1625731779661 
 01/01  11:10:00,1.83430833289615,16.15953726671 
 01/01  11:20:00,1.66764166622948,16.9646004835291 
 01/01  11:30:00,1.50097499956282,17.6099157965784 
 01/01  11:40:00,1.33430833289615,18.1520212775325 
 01/01  11:50:00,1.16764166622948,18.5792630646227 
 01/01  12:00:00,1.00097499956282,18.9014250788127 
 01/01  12:10:00,1.33430833289615,19.1671416183391 
 01/01  12:20:00,1.66764166622948,19.3729923573798 
 01/01  12:30:00,2.00097499956281,19.4867174412867 
 01/01  12:40:00,2.33430833289615,19.5328047752596 
 01/01  12:50:00,2.66764166622948,19.5588562631236 
 01/01  13:00:00,3.00097499956281,19.5597149090537 
 01/01  13:10:00,2.83430833289615,19.497391888447 
 01/01  13:20:00,2.66764166622948,19.3283260743745 
 01/01  13:30:00,2.50097499956281,19.0868414870099 
 01/01  13:40:00,2.33430833289615,18.818407611695 
 01/01  13:50:00,2.16764166622948,18.548966774263 
 01/01  14:00:00,2.00097499956281,18.2617626973975 
 01/01  14:10:00,1.83430833289615,17.944470574062 
 01/01  14:20:00,1.66764166622948,17.5991947884617 
 01/01  14:30:00,1.50097499956282,17.2337482428766 
 01/01  14:40:00,1.33430833289615,16.8653410824325 
 01/01  14:50:00,1.16764166622948,16.504241231826 
 01/01  15:00:00,1.00097499956282,16.15097993794 
 01/01  15:10:00,1.00097499956282,15.8116525286476 
 01/01  15:20:00,1.00097499956282,15.4768486727885 
 01/01  15:30:00,1.00097499956282,15.1512186668196 
 01/01  15:40:00,1.00097499956282,14.8665395502339 
 01/01  15:50:00,1.00097499956282,14.6586235585871 
 01/01  16:00:00,1.00097499956282,14.5259299094188 
 01/01  16:10:00,0.834308332896148,14.4540816330257 
 01/01  16:20:00,0.667641666229482,14.3866423636241 
 01/01  16:30:00,0.500974999562815,14.3041334452187 
 01/01  16:40:00,0.334308332896148,14.1672241198697 
 01/01  16:50:00,0.167641666229481,13.8653329191465 
 01/01  17:00:00,9.749995628148094E-004,13.455193254975 
 01/01  17:10:00,-0.165691667103852,13.035461031664 
 01/01  17:20:00,-0.332358333770519,12.6474858072138 
 01/01  17:30:00,-0.499025000437185,12.2855227814633 
 01/01  17:40:00,-0.665691667103852,11.9345893691894 
 01/01  17:50:00,-0.832358333770519,11.5879581785515 
 01/01  18:00:00,-0.999025000437185,11.2457535607286 
 01/01  18:10:00,-1.16569166710385,10.9096931285966 
 01/01  18:20:00,-1.33235833377052,10.5747189405084 
 01/01  18:30:00,-1.49902500043719,10.2449743052782 
 01/01  18:40:00,-1.66569166710385,9.92240876663922 
 01/01  18:50:00,-1.83235833377052,9.61046671179135 
 01/01  19:00:00,-1.99902500043719,9.30383486143384 
 01/01  19:10:00,-2.33235833377052,8.99015934263691 
 01/01  19:20:00,-2.66569166710385,8.66353092907431 
 01/01  19:30:00,-2.99902500043719,8.33300308359935 
 01/01  19:40:00,-3.33235833377052,8.0047121948275 
 01/01  19:50:00,-3.66569166710385,7.68486830819277 
 01/01  20:00:00,-3.99902500043719,7.36688966103597 
 01/01  20:10:00,-4.16569166710385,7.05587660806461 
 01/01  20:20:00,-4.33235833377052,6.75277715248112 
 01/01  20:30:00,-4.49902500043719,6.4554292315807 
 01/01  20:40:00,-4.66569166710385,6.16201119656059 
 01/01  20:50:00,-4.83235833377052,5.8719975807432 
 01/01  21:00:00,-4.99902500043719,5.58552956425944 
 01/01  21:10:00,-5.16569166710385,5.30225298632635 
 01/01  21:20:00,-5.33235833377052,5.02197594662323 
 01/01  21:30:00,-5.49902500043719,4.74470553269982 
 01/01  21:40:00,-5.66569166710385,4.47047212207104 
 01/01  21:50:00,-5.83235833377052,4.1992440265518 
 01/01  22:00:00,-5.99902500043719,3.93094123628522 
 01/01  22:10:00,-6.16569166710385,3.66347360666321 
 01/01  22:20:00,-6.33235833377052,3.39672857438292 
 01/01  22:30:00,-6.49902500043719,3.13167565406477 
 01/01  22:40:00,-6.66569166710385,2.86909141715294 
 01/01  22:50:00,-6.83235833377052,2.60921538674846 
 01/01  23:00:00,-6.99902500043719,2.35197389658342 
 01/01  23:10:00,-6.99902500043719,2.1058378465749 
 01/01  23:20:00,-6.99902500043719,1.87164084521611 
 01/01  23:30:00,-6.99902500043719,1.64598170365701 
 01/01  23:40:00,-6.99902500043719,1.42619066938523 
 01/01  23:50:00,-6.99902500043719,1.21149030097552 
 01/01  24:00:00,-6.99902500043719,1.0020410407881 
 01/02  00:10:00,-7.33235833377052,0.783064762384082 
 01/02  00:20:00,-7.66569166710385,0.552809056054536 
 01/02  00:30:00,-7.99902500043719,0.316938600431779 
 01/02  00:40:00,-8.33235833377052,8.021281671919522E-002 
 01/02  00:50:00,-8.66569166710385,-0.155629327478385 
 01/02  01:00:00,-8.99902500043719,-0.388847691150731 
 01/02  01:10:00,-9.16569166710385,-0.621529645102143 
 01/02  01:20:00,-9.33235833377052,-0.856439526919069 
 01/02  01:30:00,-9.49902500043719,-1.09481841762936 
 01/02  01:40:00,-9.66569166710385,-1.33632116060484 
 01/02  01:50:00,-9.83235833377052,-1.58003351489147 
 01/02  02:00:00,-9.99902500043719,-1.82520571579672 
 01/02  02:10:00,-9.99902500043719,-2.06118929329126 
 01/02  02:20:00,-9.99902500043719,-2.28637698525014 
 01/02  02:30:00,-9.99902500043719,-2.503885084894 
 01/02  02:40:00,-9.99902500043719,-2.71603496668734 
 01/02  02:50:00,-9.99902500043719,-2.92312914104905 
 01/02  03:00:00,-9.99902500043719,-3.12452367148198 
 01/02  03:10:00,-10.1656916671039,-3.33038408941303 
 01/02  03:20:00,-10.3323583337705,-3.54146848749312 
 01/02  03:30:00,-10.4990250004372,-3.75249055522591 
 01/02  03:40:00,-10.6656916671039,-3.96023019180695 
 01/02  03:50:00,-10.8323583337705,-4.16361686872876 
 01/02  04:00:00,-10.9990250004372,-4.36277311745899 
 01/02  04:10:00,-11.1656916671039,-4.55780354114811 
 01/02  04:20:00,-11.3323583337705,-4.74927742469086 
 01/02  04:30:00,-11.4990250004372,-4.93804349704449 
 01/02  04:40:00,-11.6656916671039,-5.1248942332514 
 01/02  04:50:00,-11.8323583337705,-5.31038745527297 
 01/02  05:00:00,-11.9990250004372,-5.49485845620376 
 01/02  05:10:00,-12.4990250004372,-5.69576722862645 
 01/02  05:20:00,-12.9990250004372,-5.9156258973756 
 01/02  05:30:00,-13.4990250004372,-6.14827816203567 
 01/02  05:40:00,-13.9990250004372,-6.38833292542507 
 01/02  05:50:00,-14.4990250004372,-6.63427426434286 
 01/02  06:00:00,-14.9990250004372,-6.88673019982896 
 01/02  06:10:00,-14.8323583337705,-7.11391901908371 
 01/02  06:20:00,-14.6656916671039,-7.31199601901956 
 01/02  06:30:00,-14.4990250004372,-7.49249160099762 
 01/02  06:40:00,-14.3323583337705,-7.66433824641913 
 01/02  06:50:00,-14.1656916671039,-7.82977780155945 
 01/02  07:00:00,-13.9990250004372,-7.98774313501441 
 01/02  07:10:00,-13.8323583337705,-8.1370012697183 
 01/02  07:20:00,-13.6656916671039,-8.27742536295447 
 01/02  07:30:00,-13.4990250004372,-8.38158544044826 
 01/02  07:40:00,-13.3323583337705,-8.41077589267718 
 01/02  07:50:00,-13.1656916671039,-8.35706104732609 
 01/02  08:00:00,-12.9990250004372,-8.21799461209572 
 01/02  08:10:00,-12.6656916671039,-7.99366865748349 
 01/02  08:20:00,-12.3323583337705,-7.69160163343729 
 01/02  08:30:00,-11.9990250004372,-7.32156887656282 
 01/02  08:40:00,-11.6656916671039,-6.94414591807318 
 01/02  08:50:00,-11.3323583337705,-6.63756456299861 
 01/02  09:00:00,-10.9990250004372,-6.41525978196045 
 01/02  09:10:00,-10.3323583337705,-6.26542355737164 
 01/02  09:20:00,-9.66569166710385,-6.1673626286788 
 01/02  09:30:00,-8.99902500043719,-6.11879751783581 
 01/02  09:40:00,-8.33235833377052,-6.08313813862253 
 01/02  09:50:00,-7.66569166710385,-6.03060469621548 
 01/02  10:00:00,-6.99902500043719,-5.95257594737667 
 01/02  10:10:00,-6.83235833377052,-5.87315570047282 
 01/02  10:20:00,-6.66569166710385,-5.80024430016402 
 01/02  10:30:00,-6.49902500043719,-5.72870303543802 
 01/02  10:40:00,-6.33235833377052,-5.57320914083545 
 01/02  10:50:00,-6.16569166710385,-5.22714699039951 
 01/02  11:00:00,-5.99902500043719,-4.65964830529548 
 01/02  11:10:00,-5.99902500043719,-3.87080250654604 
 01/02  11:20:00,-5.99902500043719,-2.8966114596554 
 01/02  11:30:00,-5.99902500043719,-1.7692990674246 
 01/02  11:40:00,-5.99902500043719,-0.633300299599706 
 01/02  11:50:00,-5.99902500043719,0.41435180467232 
 01/02  12:00:00,-5.99902500043719,1.36783633598809 
 01/02  12:10:00,-5.83235833377052,2.25320684858141 
 01/02  12:20:00,-5.66569166710385,3.0456782526594 
 01/02  12:30:00,-5.49902500043719,3.7540545708788 
 01/02  12:40:00,-5.33235833377052,4.34587264667823 
 01/02  12:50:00,-5.16569166710385,4.7782427759571 
 01/02  13:00:00,-4.99902500043719,5.04666510302761 
 01/02  13:10:00,-4.99902500043719,5.16553984655972 
 01/02  13:20:00,-4.99902500043719,5.12926598062073 
 01/02  13:30:00,-4.99902500043719,4.95524918250838 
 01/02  13:40:00,-4.99902500043719,4.91116599719727 
 01/02  13:50:00,-4.99902500043719,5.20979042981944 
 01/02  14:00:00,-4.99902500043719,5.88191413350194 
 01/02  14:10:00,-5.16569166710385,6.81708945539259 
 01/02  14:20:00,-5.33235833377052,7.93306974160155 
 01/02  14:30:00,-5.49902500043719,9.20409330242494 
 01/02  14:40:00,-5.66569166710385,10.3397343345007 
 01/02  14:50:00,-5.83235833377052,11.1027748994886 
 01/02  15:00:00,-5.99902500043719,11.4817328151851 
 01/02  15:10:00,-6.16569166710385,11.5276858214023 
 01/02  15:20:00,-6.33235833377052,11.3128362737524 
 01/02  15:30:00,-6.49902500043719,10.8591034614594 
 01/02  15:40:00,-6.66569166710385,10.3477218637945 
 01/02  15:50:00,-6.83235833377052,9.91919507613887 
 01/02  16:00:00,-6.99902500043719,9.5969512403314 
 01/02  16:10:00,-7.16569166710385,9.35968938976281 
 01/02  16:20:00,-7.33235833377052,9.15519322408819 
 01/02  16:30:00,-7.49902500043719,8.95747917710029 
 01/02  16:40:00,-7.66569166710385,8.72280375788895 
 01/02  16:50:00,-7.83235833377052,8.34913147649943 
 01/02  17:00:00,-7.99902500043719,7.89140994911377 
 01/02  17:10:00,-7.99902500043719,7.43845246159635 
 01/02  17:20:00,-7.99902500043719,7.02104782055901 
 01/02  17:30:00,-7.99902500043719,6.62854423282071 
 01/02  17:40:00,-7.99902500043719,6.24873046143684 
 01/02  17:50:00,-7.99902500043719,5.87777876452386 
 01/02  18:00:00,-7.99902500043719,5.5165655137843 
 01/02  18:10:00,-8.16569166710385,5.15673558789188 
 01/02  18:20:00,-8.33235833377052,4.80073004247649 
 01/02  18:30:00,-8.49902500043719,4.44942404873142 
 01/02  18:40:00,-8.66569166710385,4.10327866446621 
 01/02  18:50:00,-8.83235833377052,3.76238941552685 
 01/02  19:00:00,-8.99902500043719,3.42658337203617 
 01/02  19:10:00,-9.33235833377052,3.0877572620183 
 01/02  19:20:00,-9.66569166710385,2.74498602156572 
 01/02  19:30:00,-9.99902500043719,2.40110730054066 
 01/02  19:40:00,-10.3323583337705,2.05811532509519 
 01/02  19:50:00,-10.6656916671039,1.71626213367592 
 01/02  20:00:00,-10.9990250004372,1.37507403423704 
 01/02  20:10:00,-10.9990250004372,1.05170638367467 
 01/02  20:20:00,-10.9990250004372,0.747794062141864 
 01/02  20:30:00,-10.9990250004372,0.456611730638391 
 01/02  20:40:00,-10.9990250004372,0.173170795625045 
 01/02  20:50:00,-10.9990250004372,-0.103669416465948 
 01/02  21:00:00,-10.9990250004372,-0.373265959007619 
 01/02  21:10:00,-10.9990250004372,-0.637426064860449 
 01/02  21:20:00,-10.9990250004372,-0.896918397424006 
 01/02  21:30:00,-10.9990250004372,-1.15141107599724 
 01/02  21:40:00,-10.9990250004372,-1.40040004187756 
 01/02  21:50:00,-10.9990250004372,-1.64368433284809 
 01/02  22:00:00,-10.9990250004372,-1.88133816526131 
 01/02  22:10:00,-11.1656916671039,-2.12305840152084 
 01/02  22:20:00,-11.3323583337705,-2.36975726862495 
 01/02  22:30:00,-11.4990250004372,-2.61735309502069 
 01/02  22:40:00,-11.6656916671039,-2.86254623908013 
 01/02  22:50:00,-11.8323583337705,-3.10438055379435 
 01/02  23:00:00,-11.9990250004372,-3.34321533141481 
 01/02  23:10:00,-11.9990250004372,-3.57096677542838 
 01/02  23:20:00,-11.9990250004372,-3.78698823832293 
 01/02  23:30:00,-11.9990250004372,-3.99482150647062 
 01/02  23:40:00,-11.9990250004372,-4.19837736726809 
 01/02  23:50:00,-11.9990250004372,-4.39769253384631 
 01/02  24:00:00,-11.9990250004372,-4.59200510104587 
 01/03  00:10:00,-12.1656916671039,-4.78886811564782 
 01/03  00:20:00,-12.3323583337705,-4.98975154039957 
 01/03  00:30:00,-12.4990250004372,-5.19216079197936 
 01/03  00:40:00,-12.6656916671039,-5.39385904731775 
 01/03  00:50:00,-12.8323583337705,-5.59361648491399 
 01/03  01:00:00,-12.9990250004372,-5.79219005048098 
 01/03  01:10:00,-13.0323583337705,-5.98440859393041 
 01/03  01:20:00,-13.0656916671039,-6.16953482466468 
 01/03  01:30:00,-13.0990250004372,-6.34947235537652 
 01/03  01:40:00,-13.1323583337705,-6.52577728466332 
 01/03  01:50:00,-13.1656916671039,-6.69887516225664 
 01/03  02:00:00,-13.1990250004372,-6.8685959219475 
 01/03  02:10:00,-13.2656916671039,-7.03626028210574 
 01/03  02:20:00,-13.3323583337705,-7.20199883426502 
 01/03  02:30:00,-13.3990250004372,-7.3653741611998 
 01/03  02:40:00,-13.4656916671039,-7.52611653380749 
 01/03  02:50:00,-13.5323583337705,-7.68423192571665 
 01/03  03:00:00,-13.5990250004372,-7.84035597676511 
 01/03  03:10:00,-13.6656916671039,-7.99426150382818 
 01/03  03:20:00,-13.7323583337705,-8.14569121435888 
 01/03  03:30:00,-13.7990250004372,-8.29465425886075 
 01/03  03:40:00,-13.8656916671039,-8.4413024105098 
 01/03  03:50:00,-13.9323583337705,-8.58577929502651 
 01/03  04:00:00,-13.9990250004372,-8.72817365127262 
 01/03  04:10:00,-13.9990250004372,-8.86535029832615 
 01/03  04:20:00,-13.9990250004372,-8.99680446593711 
 01/03  04:30:00,-13.9990250004372,-9.12382296920522 
 01/03  04:40:00,-13.9990250004372,-9.24767921799181 
 01/03  04:50:00,-13.9990250004372,-9.36898568684578 
 01/03  05:00:00,-13.9990250004372,-9.48789562720746 
 01/03  05:10:00,-13.9990250004372,-9.60444636799144 
 01/03  05:20:00,-13.9990250004372,-9.71868066517311 
 01/03  05:30:00,-13.9990250004372,-9.83062822972076 
 01/03  05:40:00,-13.9990250004372,-9.94028633485847 
 01/03  05:50:00,-13.9990250004372,-10.0476454297515 
 01/03  06:00:00,-13.9990250004372,-10.1527167191555 
 01/03  06:10:00,-13.9990250004372,-10.2563787328642 
 01/03  06:20:00,-13.9990250004372,-10.3591165589778 
 01/03  06:30:00,-13.9990250004372,-10.4610718309554 
 01/03  06:40:00,-13.9990250004372,-10.5623713865358 
 01/03  06:50:00,-13.9990250004372,-10.6632479747055 
 01/03  07:00:00,-13.9990250004372,-10.7640009123161 
 01/03  07:10:00,-14.4990250004372,-10.8871470141475 
 01/03  07:20:00,-14.9990250004372,-11.0370094181275 
 01/03  07:30:00,-15.4990250004372,-11.1007489008386 
 01/03  07:40:00,-15.9990250004372,-10.9225681390054 
 01/03  07:50:00,-16.4990250004372,-10.47021455202 
 01/03  08:00:00,-16.9990250004372,-9.76711007829497 
 01/03  08:10:00,-16.3323583337705,-8.79238587240115 
 01/03  08:20:00,-15.6656916671039,-7.57034777226935 
 01/03  08:30:00,-14.9990250004372,-6.14240148259343 
 01/03  08:40:00,-14.3323583337705,-4.66247907939015 
 01/03  08:50:00,-13.6656916671039,-3.24186477375908 
 01/03  09:00:00,-12.9990250004372,-1.87239759836353 
 01/03  09:10:00,-12.6656916671039,-0.5493822152401 
 01/03  09:20:00,-12.3323583337705,0.740798212004277 
 01/03  09:30:00,-11.9990250004372,2.01768707773111 
 01/03  09:40:00,-11.6656916671039,3.20083754483139 
 01/03  09:50:00,-11.3323583337705,4.23484748921708 
 01/03  10:00:00,-10.9990250004372,5.09847874234233 
 01/03  10:10:00,-10.6656916671039,5.76922316059534 
 01/03  10:20:00,-10.3323583337705,6.27158854287601 
 01/03  10:30:00,-9.99902500043719,6.60565166736766 
 01/03  10:40:00,-9.66569166710385,6.90463845855403 
 01/03  10:50:00,-9.33235833377052,7.27101397126089 
 01/03  11:00:00,-8.99902500043719,7.71001349872205 
 01/03  11:10:00,-8.83235833377052,8.17914136716955 
 01/03  11:20:00,-8.66569166710385,8.65782412308252 
 01/03  11:30:00,-8.49902500043719,9.14668617806737 
 01/03  11:40:00,-8.33235833377052,9.74895345127301 
 01/03  11:50:00,-8.16569166710385,10.4904151084962 
 01/03  12:00:00,-7.99902500043719,11.3338103578644 
 01/03  12:10:00,-7.83235833377052,12.3057766635442 
 01/03  12:20:00,-7.66569166710385,13.3893519074634 
 01/03  12:30:00,-7.49902500043719,14.5545284975592 
 01/03  12:40:00,-7.33235833377052,15.6907463524187 
 01/03  12:50:00,-7.16569166710385,16.7468868613706 
 01/03  13:00:00,-6.99902500043719,17.7363970255839 
 01/03  13:10:00,-7.01569166710385,18.6686080817182 
 01/03  13:20:00,-7.03235833377052,19.5513257487315 
 01/03  13:30:00,-7.04902500043718,20.3849592394856 
 01/03  13:40:00,-7.06569166710385,21.2342273740032 
 01/03  13:50:00,-7.08235833377052,22.1348985569996 
 01/03  14:00:00,-7.09902500043718,23.0970370977782 
 01/03  14:10:00,-7.21569166710385,24.0864640110281 
 01/03  14:20:00,-7.33235833377052,25.0759775374197 
 01/03  14:30:00,-7.44902500043718,26.0579374465598 
 01/03  14:40:00,-7.56569166710385,26.9769662933133 
 01/03  14:50:00,-7.68235833377052,27.7911427590467 
 01/03  15:00:00,-7.79902500043718,28.5047986530771 
 01/03  15:10:00,-7.99902500043719,29.1274249508688 
 01/03  15:20:00,-8.19902500043719,29.6680294827069 
 01/03  15:30:00,-8.39902500043719,30.1177189201954 
 01/03  15:40:00,-8.59902500043719,30.3867336325088 
 01/03  15:50:00,-8.79902500043718,30.4295858387235 
 01/03  16:00:00,-8.99902500043719,30.260031416637 
 01/03  16:10:00,-8.99902500043719,29.9064121664833 
 01/03  16:20:00,-8.99902500043719,29.3770263903292 
 01/03  16:30:00,-8.99902500043719,28.6807279774041 
 01/03  16:40:00,-8.99902500043719,27.8933896005352 
 01/03  16:50:00,-8.99902500043719,26.9248690899593 
 01/03  17:00:00,-8.99902500043719,25.8834765976182 
 01/03  17:10:00,-8.99902500043719,24.8881362376071 
 01/03  17:20:00,-8.99902500043719,23.9621834149253 
 01/03  17:30:00,-8.99902500043719,23.0822933261855 
 01/03  17:40:00,-8.99902500043719,22.23046375865 
 01/03  17:50:00,-8.99902500043719,21.4033581379053 
 01/03  18:00:00,-8.99902500043719,20.6022833394474 
 01/03  18:10:00,-8.99902500043719,19.8306183854209 
 01/03  18:20:00,-8.99902500043719,19.0861716409637 
