Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),ZONE ONE:Zone Mean Air Temperature [C](Hourly),TEST 352A:Other Equipment Total Heating Energy [J](Hourly),ZONE ONE:Zone Other Equipment Total Heating Energy [J](Hourly),TEST 352 MINUS:Other Equipment Total Heating Energy [J](Hourly),Environment:Site Day Type Index [](Hourly),Environment:Site Daylight Saving Time Status [](Hourly) 
 12/21  01:00:00,-15.5,-18.2111949050855,1267200.,0.0,-1267200.,10.,0.0 
 12/21  02:00:00,-15.5,-18.2112761386531,1267200.,0.0,-1267200.,10.,0.0 
 12/21  03:00:00,-15.5,-18.2113560890345,1267200.,0.0,-1267200.,10.,0.0 
 12/21  04:00:00,-15.5,-18.2114347764716,1267200.,0.0,-1267200.,10.,0.0 
 12/21  05:00:00,-15.5,-18.2115122208884,1267200.,0.0,-1267200.,10.,0.0 
 12/21  06:00:00,-15.5,-18.2115884418953,1267200.,0.0,-1267200.,10.,0.0 
 12/21  07:00:00,-15.5,-18.2116634587942,1267200.,0.0,-1267200.,10.,0.0 
 12/21  08:00:00,-15.5,-18.2117372905834,1267200.,0.0,-1267200.,10.,0.0 
 12/21  09:00:00,-15.5,-18.2118099559623,1267200.,0.0,-1267200.,10.,0.0 
 12/21  10:00:00,-15.5,-18.2118814733362,1267200.,0.0,-1267200.,10.,0.0 
 12/21  11:00:00,-15.5,-18.2119518608204,1267200.,0.0,-1267200.,10.,0.0 
 12/21  12:00:00,-15.5,-18.2120211362455,1267200.,0.0,-1267200.,10.,0.0 
 12/21  13:00:00,-15.5,-18.2120893171611,1267200.,0.0,-1267200.,10.,0.0 
 12/21  14:00:00,-15.5,-18.2121564208408,1267200.,0.0,-1267200.,10.,0.0 
 12/21  15:00:00,-15.5,-18.2122224642861,1267200.,0.0,-1267200.,10.,0.0 
 12/21  16:00:00,-15.5,-18.2122874642309,1267200.,0.0,-1267200.,10.,0.0 
 12/21  17:00:00,-15.5,-18.2123514371455,1267200.,0.0,-1267200.,10.,0.0 
 12/21  18:00:00,-15.5,-18.2124143992411,1267200.,0.0,-1267200.,10.,0.0 
 12/21  19:00:00,-15.5,-18.2124763664733,1267200.,0.0,-1267200.,10.,0.0 
 12/21  20:00:00,-15.5,-18.2125373545464,1267200.,0.0,-1267200.,10.,0.0 
 12/21  21:00:00,-15.5,-18.2125973789177,1267200.,0.0,-1267200.,10.,0.0 
 12/21  22:00:00,-15.5,-18.2126564548006,1267200.,0.0,-1267200.,10.,0.0 
 12/21  23:00:00,-15.5,-18.2127145971689,1267200.,0.0,-1267200.,10.,0.0 
 12/21  24:00:00,-15.5,-18.2127718207607,1267200.,0.0,-1267200.,10.,0.0 
 07/21  01:00:00,18.966,29.0758602833398,1267200.,0.0,-1267200.,9.,0.0 
 07/21  02:00:00,18.244,28.789839858684,1267200.,0.0,-1267200.,9.,0.0 
 07/21  03:00:00,17.731,28.5119621668608,1267200.,0.0,-1267200.,9.,0.0 
 07/21  04:00:00,17.275,28.2368693772544,1267200.,0.0,-1267200.,9.,0.0 
 07/21  05:00:00,16.914,27.962827088917,1267200.,0.0,-1267200.,9.,0.0 
 07/21  06:00:00,16.99,27.8660084635985,1267200.,0.0,-1267200.,9.,0.0 
 07/21  07:00:00,17.769,28.1937425108709,1267200.,0.0,-1267200.,9.,0.0 
 07/21  08:00:00,19.783,28.5512612490869,1267200.,0.0,-1267200.,9.,0.0 
 07/21  09:00:00,22.557,29.0068549345696,1267200.,0.0,-1267200.,9.,0.0 
 07/21  10:00:00,25.255,29.5099190955108,1267200.,0.0,-1267200.,9.,0.0 
 07/21  11:00:00,27.649,29.959066995365,1267200.,0.0,-1267200.,9.,0.0 
 07/21  12:00:00,29.454,30.3207412972594,1267200.,0.0,-1267200.,9.,0.0 
 07/21  13:00:00,30.784,30.6432119122609,1267200.,0.0,-1267200.,9.,0.0 
 07/21  14:00:00,31.715,31.0669531088576,1267200.,0.0,-1267200.,9.,0.0 
 07/21  15:00:00,32.,31.4305080531397,1267200.,0.0,-1267200.,9.,0.0 
 07/21  16:00:00,31.43,31.6435153333216,1267200.,0.0,-1267200.,9.,0.0 
 07/21  17:00:00,30.328,31.6958354786375,1267200.,0.0,-1267200.,9.,0.0 
 07/21  18:00:00,28.922,31.6232853953908,1267200.,0.0,-1267200.,9.,0.0 
 07/21  19:00:00,26.927,31.2122361356983,1267200.,0.0,-1267200.,9.,0.0 
 07/21  20:00:00,25.027,30.5203981429155,1267200.,0.0,-1267200.,9.,0.0 
 07/21  21:00:00,23.545,30.1830202016272,1267200.,0.0,-1267200.,9.,0.0 
 07/21  22:00:00,22.177,29.9158985977945,1267200.,0.0,-1267200.,9.,0.0 
 07/21  23:00:00,20.999,29.6421533167809,1267200.,0.0,-1267200.,9.,0.0 
 07/21  24:00:00,19.935,29.3645689377627,1267200.,0.0,-1267200.,9.,0.0 
 01/01  01:00:00,-4.5,-0.67576026641246,1267200.,0.0,-1267200.,1.,0.0 
 01/01  02:00:00,-3.,-0.698850113855547,1267200.,0.0,-1267200.,1.,0.0 
 01/01  03:00:00,-3.625,-0.747743086192338,1267200.,0.0,-1267200.,1.,0.0 
 01/01  04:00:00,-2.75,-0.839764239613117,1267200.,0.0,-1267200.,1.,0.0 
 01/01  05:00:00,-2.,-0.775905558324407,1267200.,0.0,-1267200.,1.,0.0 
 01/01  06:00:00,-1.375,-0.770896991559969,1267200.,0.0,-1267200.,1.,0.0 
 01/01  07:00:00,-1.,-0.799256465691055,1267200.,0.0,-1267200.,1.,0.0 
 01/01  08:00:00,-1.,-0.631895138172592,1267200.,0.0,-1267200.,1.,0.0 
 01/01  09:00:00,-0.375,0.274700802245961,1267200.,0.0,-1267200.,1.,0.0 
 01/01  10:00:00,1.25,0.444682105960104,1267200.,0.0,-1267200.,1.,0.0 
 01/01  11:00:00,2.,1.26869343274106,1267200.,0.0,-1267200.,1.,0.0 
 01/01  12:00:00,1.375,1.48749059753507,1267200.,0.0,-1267200.,1.,0.0 
 01/01  13:00:00,2.25,1.18439468469055,1267200.,0.0,-1267200.,1.,0.0 
 01/01  14:00:00,2.375,1.10609146729669,1267200.,0.0,-1267200.,1.,0.0 
 01/01  15:00:00,1.375,0.897103568662029,1267200.,0.0,-1267200.,1.,0.0 
 01/01  16:00:00,1.,0.757021944693394,1267200.,0.0,-1267200.,1.,0.0 
 01/01  17:00:00,0.375,0.766626414489565,1267200.,0.0,-1267200.,1.,0.0 
 01/01  18:00:00,-0.625,0.537255504257903,1267200.,0.0,-1267200.,1.,0.0 
 01/01  19:00:00,-1.625,0.358614966771974,1267200.,0.0,-1267200.,1.,0.0 
 01/01  20:00:00,-3.25,0.187046800865228,1267200.,0.0,-1267200.,1.,0.0 
 01/01  21:00:00,-4.625,-2.160136605703610E-002,1267200.,0.0,-1267200.,1.,0.0 
 01/01  22:00:00,-5.625,-0.222963433671753,1267200.,0.0,-1267200.,1.,0.0 
 01/01  23:00:00,-6.625,-0.424650431763244,1267200.,0.0,-1267200.,1.,0.0 
 01/01  24:00:00,-7.,-0.600731694999433,1267200.,0.0,-1267200.,1.,0.0 
 01/02  01:00:00,-8.25,-0.821674443499518,1267200.,0.0,-1267200.,2.,0.0 
 01/02  02:00:00,-9.625,-1.24487055245028,1267200.,0.0,-1267200.,2.,0.0 
